-9.972638618494816E-001      7.018610009469542E-003
-9.856115115452684E-001      1.627439473090565E-002
-9.647622555875064E-001      2.539206530926207E-002
-9.349060759377397E-001      3.427386291302148E-002
-8.963211557660521E-001      4.283589802221811E-002
-8.493676137325700E-001      5.099805926237452E-002
-7.944837959679424E-001      5.868409347853511E-002
-7.321821187402897E-001      6.582222277636172E-002
-6.630442669302152E-001      7.234579410884849E-002
-5.877157572407623E-001      7.819389578707031E-002
-5.068999089322294E-001      8.331192422694672E-002
-4.213512761306353E-001      8.765209300440380E-002
-3.318686022821277E-001      9.117387869576390E-002
-2.392873622521371E-001      9.384439908080451E-002
-1.444719615827965E-001      9.563872007927486E-002
-4.830766568773831E-002      9.654008851472777E-002
 4.830766568773831E-002      9.654008851472777E-002
 1.444719615827965E-001      9.563872007927486E-002
 2.392873622521371E-001      9.384439908080451E-002
 3.318686022821277E-001      9.117387869576390E-002
 4.213512761306353E-001      8.765209300440380E-002
 5.068999089322294E-001      8.331192422694672E-002
 5.877157572407623E-001      7.819389578707031E-002
 6.630442669302152E-001      7.234579410884849E-002
 7.321821187402897E-001      6.582222277636172E-002
 7.944837959679424E-001      5.868409347853511E-002
 8.493676137325700E-001      5.099805926237452E-002
 8.963211557660521E-001      4.283589802221811E-002
 9.349060759377397E-001      3.427386291302148E-002
 9.647622555875064E-001      2.539206530926207E-002
 9.856115115452684E-001      1.627439473090565E-002
 9.972638618494816E-001      7.018610009469542E-003
